CMP_CD,CMP_KOR,DART_CD
034730,SK,00181712
096770,SK이노베이션,00631518
010950,S-Oil,00138279
009830,한화솔루션,00162461
078930,GS,00500254
083650,비에이치아이,00409788
112610,씨에스윈드,00670340
100090,SK오션플랜트,00480367
006120,SK디스커버리,00131832
475150,SK이터닉스,01817081
322000,HD현대에너지솔루션,01199550
100840,SNT에너지,00648721
018000,유니슨,00144243
044490,태웅,00186799
128820,대성산업,00828789
005090,SGC에너지,00125150
024060,흥구석유,00167004
098070,한텍,00404941
457550,우진엔텍,01030503
046120,오르비텍,00297989
126720,수산인더스트리,00193328
389260,대명에너지,01150515
126880,제이엔케이글로벌,00442154
014530,극동유화,00105156
099220,SDN,00574611
100130,동국S&C,00415594
012700,리드코프,00117708
282720,금양그린파워,00872656
270520,앱튼,01228515
136150,원일티엔아이,00488244
101970,우양에이치씨,00450931
060900,에이전트AI,00367695
137950,제이씨케미칼,00664853
038870,에코바이오,00287812
043200,파루,00266934
000440,중앙에너비스,00149770
095910,에스에너지,00585538
065420,에스아이리소스,00120906
005490,POSCO홀딩스,00155319
051910,LG화학,00356361
010130,고려아연,00102858
086520,에코프로,00536541
003670,포스코퓨처엠,00155276
004020,현대제철,00145880
014680,한솔케미칼,00140955
011790,SKC,00139889
103140,풍산,00684714
011780,금호석유화학,00106368
010060,OCI홀딩스,00148896
011170,롯데케미칼,00165413
457190,이수스페셜티케미컬,01762569
005070,코스모신소재,00129989
005690,파미셀,00145163
120110,코오롱인더,00795135
001430,세아베스틸지주,00106669
285130,SK케미칼,01267170
004000,롯데정밀화학,00157681
281740,레이크머티리얼즈,01255652
295310,에이치브이엠,01011368
006650,대한유화,00260383
121600,나노신소재,00439965
033500,동성화인텍,00231105
298050,HS효성첨단소재,01316254
093370,후성,00595191
000210,DL,00109693
069260,TKG휴켐스,00426086
005420,코스모화학,00160302
009520,포스코엠텍,00128111
456040,OCI,01760738
460860,동국제강,01765265
008730,율촌화학,00145260
005810,풍산홀딩스,00155531
002960,한국쉘석유,00158149
101360,에코앤드림,00619640
251970,펌텍코리아,00761059
002710,TCC스틸,00117300
014830,유니드,00159786
104830,원익머트리얼즈,00623661
178920,PI첨단소재,00767460
357550,석경에이티,00921916
016380,KG스틸,00115676
000070,삼양홀딩스,00126937
017860,DS단석,00108612
002240,고려제강,00103006
220260,켐트로스,01089350
256940,킵스파마,01037214
003240,태광산업,00153393
003030,세아제강지주,00124197
007690,국도화학,00104388
002840,미원상사,00121932
002810,삼영무역,00127167
006110,삼아알미늄,00126779
161000,애경케미칼,00936787
003720,삼영,00127255
004430,송원산업,00134963
012610,경인양행,00102113
008970,KBI동양철관,00117629
025860,남해화학,00107987
001340,PKC,00122472
251370,와이엠티,00602172
213500,한솔제지,01060744
306200,세아제강,01325979
005950,이수화학,00145552
017890,한국알콜,00158565
102260,동성케미컬,00679314
002310,아세아제지,00138729
008350,남선알미늄,00107224
014820,동원시스템즈,00132637
005010,휴스틸,00156488
011500,한농화성,00160861
084010,대한제강,00113225
027410,BGF,00219097
268280,미원에스씨,01234297
001940,KISCO홀딩스,00159740
001780,알루코,00117027
460850,동국씨엠,01765256
003650,미창석유,00122056
058430,포스코스틸리온,00155258
001080,만호제강,00120872
187790,나노,00994994
058650,세아홀딩스,00377610
069460,대호에이엘,00428729
025820,이구산업,00145464
018470,조일알미늄,00149239
034810,해성산업,00219361
138490,코오롱ENP,00241005
004560,현대비앤지스틸,00125743
092790,넥스틸,00220613
004090,한국석유,00157991
009160,SIMPAC,00138260
016590,신대양제지,00135777
001230,동국홀딩스,00114792
054920,한컴위드,00363592
081000,일진다이아,00508274
104700,한국철강,00687711
104480,티케이케미칼,00693554
000970,한국주철관,00159573
126600,BGF에코머티리얼즈,00599595
025000,KPX케미칼,00191472
298000,효성화학,01316236
014580,태경비케이,00122481
005160,동국산업,00172680
000180,성창기업지주,00133335
012800,대창,00112651
294140,레몬,01011395
023440,제이스코홀딩스,00148531
134380,미원화학,00855163
066430,아이로보틱스,00370200
092230,KPX홀딩스,00587466
083420,그린케미칼,00454946
002200,한국수출포장,00158112
125210,아모그린텍,00611912
002220,한일철강,00163196
023600,삼보판지,00125938
136410,아셈스,00922304
015890,태경산업,00153339
009580,무림P&P,00119007
014160,대영포장,00111458
272550,삼양패키징,01060814
014190,원익큐브,00128175
163280,에어레인,01663116
012320,경동인베스트,00143527
081150,티플랙스,00497631
139990,아주스틸,00486705
004250,NPC,00108038
032560,황금에스티,00218575
120240,대정화금,00250997
036640,HRS,00230911
007590,동방아그로,00115384
286750,나노실리칸첨단소재,01136001
014440,영보화학,00140779
009190,대양금속,00111111
023450,동남합성,00115065
078130,국일제지,00104573
003780,진양산업,00150439
004540,깨끗한나라,00113492
107590,미원홀딩스,00706715
002100,경농,00101433
025550,한국선재,00158015
004890,동일산업,00172936
011280,태림포장,00153524
133820,화인베스틸,00661847
007280,한국특강,00124090
024090,디씨엠,00177199
039240,경남스틸,00206039
019440,세아특수강,00133991
460870,에스엠씨지,01142260
009200,무림페이퍼,00136086
003830,대한화섬,00113544
023900,풍국주정,00155452
006840,AK홀딩스,00125080
006890,태경케미컬,00109161
006740,블루산업개발,00141404
037370,EG,00261054
009730,이렘,00116426
027580,상보,00129615
462520,조선내화,01770203
071090,하이스틸,00435312
021050,서원,00131197
036670,삼양케이씨아이,00265041
042040,케이피엠테크,00206686
000480,CR홀딩스,00148984
006380,카프로,00159810
120030,조선선재,00796994
163560,동일고무벨트,00939687
002360,SH에너지화학,00136457
017480,삼현철강,00128926
045060,오공,00220969
004780,대륙제관,00109587
003080,SB성보,00132725
004840,DRB동일,00118266
069730,DSR제강,00151298
001550,조비,00148948
016100,리더스코스메틱,00180263
097870,효성오앤비,00367385
128660,피제이메탈,00829380
023790,동일스틸럭스,00172945
053260,금강철강,00105475
037760,쎄니트,00239596
332290,누보,01394669
155660,DSR,00110608
008420,문배철강,00121570
014970,삼륭물산,00125488
318000,KBG,00876166
101240,씨큐브,00520610
027970,한국제지,00133706
017650,대림제지,00109781
013000,세우글로벌,00134176
177830,파버나인,00429694
009620,삼보산업,00125822
222420,쎄노텍,01091054
012160,영흥,00141477
004450,삼화왕관,00129235
010040,한국내화,00160205
008370,원풍,00144012
075970,동국알앤에스,00472890
012620,원일특강,00143907
026940,부국철강,00123781
009460,한창제지,00163761
051630,진양화학,00347734
196700,웹스,00864338
010640,진양폴리,00160375
002870,신풍,00137368
352940,인바이오,00367871
001560,제일연마,00148461
340440,세림B&G,01416572
247660,나노씨엠에스,00660459
002820,SUN&L,00132211
008870,금비,00168401
037230,한국팩키지,00198192
140520,대창스틸,00112721
091970,나노캠텍,00542074
048470,대동스틸,00109268
079170,한창산업,00202839
162300,신스틸,00958664
263920,휴엠앤씨,01185566
001020,페이퍼코리아,00134723
024070,WISCOM,00142865
000590,CS홀딩스,00149026
050760,에스폴리텍,00340272
021040,대호특수강,00166175
001810,무림SP,00121507
060380,동양에스텍,00178851
263770,유에스티,01196313
115570,스타플렉스,00405959
049830,승일,00135467
002690,동일제강,00118451
285800,진영,00816933
000760,이화산업,00145686
001770,SHD,00137809
060480,국일신동,00203847
005820,원림,00143794
221980,케이디켐,00370918
026910,광진실업,00104120
007770,한일화학,00267979
054410,케이피티유,00357607
048830,엔피케이,00108490
025890,한국주강,00159564
402340,SK스퀘어,01596425
034020,두산에너빌리티,00159616
012450,한화에어로스페이스,00126566
028260,삼성물산,00149655
267260,HD현대일렉트릭,01205851
009540,HD한국조선해양,00164830
010140,삼성중공업,00126478
042660,한화오션,00111704
064350,현대로템,00302926
329180,HD현대중공업,01390344
298040,효성중공업,01316245
047810,한국항공우주,00309503
267250,HD현대,01205709
010120,LS ELECTRIC,00105855
003550,LG,00120021
079550,LIG넥스원,00503668
000150,두산,00117212
277810,레인보우로보틱스,01261644
000720,현대건설,00164478
272210,한화시스템,00339391
006260,LS,00105952
028050,삼성E&A,00126308
241560,두산밥캣,01032486
108490,로보티즈,00946030
443060,HD현대마린솔루션,01194689
001440,대한전선,00113207
017800,현대엘리베이터,00164724
001040,CJ,00148540
082740,한화엔진,00361008
000880,한화,00160588
047050,포스코인터내셔널,00124504
071970,HD현대마린엔진,00406046
062040,산일전기,00366438
042670,HD현대인프라코어,00344287
002380,KCC,00105271
454910,두산로보틱스,01105153
103590,일진전기,00683469
006360,GS건설,00120030
319400,현대무벡스,01358463
466100,클로봇,01784914
375500,DL이앤씨,01524093
097230,HJ중공업,00633835
267270,HD건설기계,01205842
090710,휴림로봇,00540429
017960,한국카본,00159795
001120,LX인터내셔널,00120076
178320,서진시스템,00838005
047040,대우건설,00124540
294870,HDC현대산업개발,01310269
004800,효성,00117188
439260,대한조선,00182696
004990,롯데지주,00120562
099320,쎄트렉아이,00449254
032820,우리기술,00231044
090360,로보스타,00536523
077970,STX엔진,00480455
060370,LS마린솔루션,00225742
388720,유일로보틱스,01152586
001740,SK네트웍스,00131780
014620,성광벤드,00132318
012630,HDC,00164636
214430,아이쓰리시스템,00612489
033100,제룡전기,00185356
009240,한샘,00161693
460930,현대힘스,00667373
075580,세진중공업,00415628
126340,비나텍,00563518
229640,LS에코에너지,01093007
099440,스맥,00580056
117730,티로보틱스,00867098
383800,LX홀딩스,01562589
119850,지엔씨에너지,00626464
484870,엠앤씨솔루션,01519790
056190,에스에프에이,00358271
010780,아이에스동서,00115977
300720,한일시멘트,01319808
023160,태광,00153375
348340,뉴로메카,01336461
002020,코오롱,00152862
347700,스피어,01336762
160190,하이젠알앤엠,00650771
005440,현대지에프홀딩스,00105280
056080,유진로봇,00234227
107640,한중엔시에스,00474588
000500,가온전선,00104768
002030,아세아,00138701
475400,씨메스,01588189
344820,KCC글라스,01428203
462350,이노스페이스,01700587
006910,보성파워텍,00267881
105840,우진,00173944
474650,링크솔루션,01764099
101930,인화정공,00482426
013030,하이록코리아,00165060
006340,대원전선,00260392
484590,삼양컴텍,00141583
478340,나라스페이스테크놀로지,01787355
038500,삼표시멘트,00239639
217590,티엠씨,00949161
014940,오리엔탈정공,00141608
011760,현대코퍼레이션,00164812
255220,SG,00963976
274090,켄코아에어로스페이스,01158553
108670,LX하우시스,00759513
140670,알에스오토메이션,00858124
000490,대동,00109286
381620,제닉스로보틱스,01293485
013890,지누스,00150633
003300,한일홀딩스,00162993
036890,진성티이씨,00174208
004980,성신양회,00132804
023410,유진기업,00184667
183190,아세아시멘트,00990165
002900,TYM,00117230
053690,한미글로벌,00413523
282880,코윈테크,01211232
199430,케이엔알시스템,00672603
009410,태영건설,00153861
079900,전진건설로봇,00372129
054540,삼영엠텍,00250614
488900,비츠로넥스텍,01194607
459510,나우로보틱스,01594791
000390,삼화페인트,00129387
389500,에스비비테크,00567897
418550,제이오,00411808
016800,퍼시스,00161709
015860,일진홀딩스,00146649
094820,일진파워,00485177
002150,도화엔지니어링,00114552
092460,한라IMS,00528515
451760,컨텍,01685251
019210,와이지-원,00139719
013580,계룡건설,00102432
0008Z0,에스엔시스,
036190,금화피에스시,00176516
010820,퍼스텍,00148522
001520,동양,00117337
101170,우림피티에스,00567222
028100,동아지질,00178754
388050,지투파워,01462605
015590,DKME,00108746
365330,에스와이스틸텍,01135084
109610,에스와이,00535481
001250,GS글로벌,00138190
327260,RF머트리얼즈,01343665
000320,노루홀딩스,00113508
108380,대양전기공업,00111193
025900,동화기업,00173032
0015G0,그린광학,
210540,디와이파워,01059605
000860,강남제비스코,00100939
014280,금강공업,00105299
017510,세명전기,00133751
018310,삼목에스폼,00125646
067390,아스트,00409681
474170,루미르,01636565
199820,제일일렉트릭,00148470
013120,동원개발,00117966
361390,제노코,01014718
004150,한솔홀딩스,00171636
289930,웨이비스,01270749
011370,서한,00131504
090350,노루페인트,00583442
026150,특수건설,00186939
484810,티엑스알로보틱스,01458161
487570,HS효성,01854763
068240,다원시스,00523307
095190,이엠코리아,00526951
007110,일신석재,00146296
011700,한신기계,00162072
079430,현대리바트,00300548
015230,대창단조,00112679
053080,케이엔솔,00304076
005870,휴니드,00111421
065450,빅텍,00385363
041440,현대에버다임,00228536
002460,HS화성,00174527
049430,코메론,00152783
002990,금호건설,00106313
060310,3S,00378363
059270,해성에어로보틱스,00453442
004960,한신공영,00162063
008830,대동기어,00109310
195990,에이비프로바이오,00620558
096350,대창솔루션,00177870
317400,자이에스앤디,00367844
071670,에이테크솔루션,00384887
147830,제룡산업,00899556
475230,엔알비,01708163
073010,케이에스피,00328191
011560,세보엠이씨,00133876
036560,KZ정밀,00141389
297090,씨에스베어링,00765462
007820,에스엠코어,00137915
042940,상지건설,00232007
011810,STX,00138297
066620,국보디자인,00253985
317830,에스피시스템스,00624749
105740,디케이락,00533003
004380,삼익THK,00127802
417970,모델솔루션,00657783
024880,케이피에프,00157636
122450,KX,00657987
007210,벽산,00122898
104460,디와이피엔에프,00602136
294630,서남,00867973
019990,에너토크,00169215
010660,화천기계,00166500
138360,앤로보틱스,00808068
039570,HDC랩스,00350312
005960,동부건설,00115612
085310,엔케이,00172228
002780,진흥기업,00150828
037350,성도이엔지,00216498
003070,코오롱글로벌,00152880
206400,베노티앤알,01043853
010960,삼호개발,00128980
014790,HL D&I,00161116
448710,코츠테크놀로지,00959210
125020,티씨머티리얼즈,00381756
017550,수산세보틱스,00135111
086670,비엠티,00524786
452280,한선엔지니어링,00958451
333430,일승,01396676
025950,동신건설,00116408
060560,HC홈센타,00288495
251630,브이원텍,01027794
095270,웨이브일렉트로,00526696
317850,대모,00450995
037440,희림,00236863
413630,씨피시스템,01601222
003800,에이스침대,00140052
039610,화성밸브,00217743
309930,조이웍스앤코,01335453
013360,일성건설,00146232
023960,에쓰씨엔지니어링,00121969
186230,그린플러스,00602279
099410,동방선기,00526678
051490,나라엠앤디,00297095
024840,KBI메탈,00158024
000850,화천기공,00166519
090410,덕신이피씨,00454937
017040,광명전기,00103662
008260,NI스틸,00116301
480370,씨케이솔루션,01210677
046940,우원개발,00363246
011390,부산산업,00124027
039020,이건홀딩스,00184889
000910,유니온,00144252
058730,다스코,00353878
066980,한성크린텍,00389998
025750,한솔홈데코,00203582
012210,삼미금속,00125664
005750,대림바스,00109754
215090,솔디펜스,01063884
003010,혜인,00165343
006050,국영지앤엠,00104537
007610,선도전기,00131939
033540,파라텍,00105138
065950,웰크론,00362159
171120,라이온켐텍,00317104
225530,HC보광산업,00568461
474610,RF시스템즈,01286476
013700,까뮤이앤씨,00129420
054930,유신,00144650
008250,이건산업,00145446
004440,삼일씨엔에스,00109806
001260,남광토건,00107066
021320,KCC건설,00105466
475430,키스트론,00204323
004870,티웨이홀딩스,00109514
017000,신원종합개발,00136925
069140,누리플랜,00410997
159010,아스플로,00561732
119500,포메탈,00188797
010240,흥국,00167031
002290,삼일기업공사,00127936
016250,SGC E&C,00141246
089140,넥스턴앤롤코리아,00416414
129920,대성하이텍,00577335
004910,조광페인트,00148920
038010,제일테크노스,00148595
100660,서암기계공업,00166528
109860,동일금속,00118284
048770,TPC,00108649
011090,에넥스,00139764
052300,오션인더블유,00349811
013810,스페코,00136165
053160,프리엠스,00352064
049800,우진플라임,00303217
221840,하이즈항공,00688358
006920,모헨즈,00163318
056730,CNT85,00318662
023350,한국종합기술,00159500
035200,프럼파스트,00356389
198440,강동씨앤엘,01032583
091590,남화토건,00108001
101000,KS인더스트리,00618410
008470,부스타,00124276
050860,아세아텍,00138747
022220,티케이지애강,00140061
092440,기신정기,00106614
044780,에이치케이,00235183
479960,위너스,01137860
035460,기산텔레콤,00258421
446070,유니드비티플러스,01702017
138070,신진에스엠,00577380
085810,알티캐스트,00364254
237750,피앤씨테크,00525864
415380,스튜디오삼익,01540815
189860,서전기전,00869272
076080,웰크론한텍,00487546
228340,동양파일,00993931
007680,대원,00111838
103230,에스앤더블류,00137012
044180,KD,00111218
192390,윈하이텍,00910840
060260,뉴보텍,00351375
079000,와토스코리아,00455875
010400,우진아이엔에스,00143262
134790,시디즈,00852087
224060,더코디,00530413
006570,대림통상,00109824
079650,서산,00130408
043340,에쎈테크,00203209
101680,한국정밀기계,00257732
073190,듀오백,00407771
012750,에스원,00158501
030190,NICE평가정보,00158325
383310,에코프로에이치엔,01566248
122900,아이마켓코리아,00360142
036800,나이스정보통신,00264945
377450,리파인,01210066
034950,한국기업평가,00156956
060150,인선이엔티,00375931
203650,드림시큐리티,01038693
448280,에코아이,01218299
049720,고려신용정보,00336297
058850,KTcs,00372882
043910,자연과환경,00418379
143240,사람인,00857480
092130,이크레더블,00634728
130580,나이스디앤비,00606293
058860,KTis,00372873
090850,현대이지웰,00656951
094280,효성ITX,00414850
105760,포스뱅크,00862312
036120,서울평가정보,00260745
376980,원티드랩,01441611
030960,양지사,00139685
090370,메타랩스,00442835
440320,오픈놀,01585155
033050,제이엠아이,00222435
011200,HMM,00164645
086280,현대글로비스,00360595
180640,한진칼,00983040
003490,대한항공,00113526
088980,맥쿼리인프라,00435297
415640,KB발해인프라,01880801
000120,CJ대한통운,00113410
028670,팬오션,00122737
020560,아시아나항공,00138792
089860,롯데렌탈,00545716
005880,대한해운,00113535
403550,쏘카,01026157
089590,제주항공,00555874
002320,한진,00163512
272450,진에어,00653024
009070,KCTC,00103042
004360,세방,00133812
091810,티웨이항공,00671376
298690,에어부산,00651901
044450,KSS해운,00160232
084670,동양고속,00540641
004140,동방,00115287
003280,흥아해운,00167208
095570,AJ네트웍스,00365387
005430,한국공항,00156691
000700,유수홀딩스,00163691
065710,서호전기,00220622
000650,천일고속,00151395
067900,와이엔텍,00190756
124560,태웅로직스,00562245
009180,한솔로지스틱스,00140946
045340,토탈소프트,00355089
003100,선광,00131896
054300,팬스타엔터프라이즈,00339072
038390,레드캡투어,00261355
033290,로젠,00155948
038620,위즈코프,00264228
024800,유성티엔에스,00173999
109070,주성코퍼레이션,00753643
129260,인터지스,00151368
465770,STX그린로지스,01784394
014130,한익스프레스,00129509
121890,에스디시스템,00604815
032280,삼일,00127909
005380,현대차,00164742
000270,기아,00106641
012330,현대모비스,00164788
161390,한국타이어앤테크놀로지,00937324
204320,HL만도,01042775
000240,한국앤컴퍼니,00160047
011210,현대위아,00106623
018880,한온시스템,00161125
005850,에스엘,00125521
073240,금호타이어,00481454
437730,삼현,00262266
004490,세방전지,00133858
007340,DN오토모티브,00116949
025540,한국단자,00157070
125490,한라캐스트,00683061
064960,SNT모티브,00398792
092200,디아이씨,00112165
003570,SNT다이내믹스,00134477
015750,성우하이텍,00132992
003620,KG모빌리티,00138242
060980,HL홀딩스,00299002
009900,명신산업,00173078
002350,넥센타이어,00173874
036530,SNT홀딩스,00225159
381970,케이카,01323032
041020,폴라리스오피스,00269852
001390,KG케미칼,00101220
033530,SJG세종,00134510
200880,서연이화,01036446
000430,대원강업,00111847
271940,일진하이솔루스,00972503
118990,모트렉스,00876908
010690,화신,00166315
123410,코리아에프티,00803425
448900,한국피아이엠,00765897
331740,아우토크립트,01649620
012200,계양전기,00102618
007860,서연,00163114
005710,대원산업,00111874
424960,스마트레이더시스템,01555215
151860,KG에코솔루션,00366137
005720,넥센,00167192
354320,알멕,00229030
043370,피에이치에이,00155151
038110,에코플라스틱,00139153
053700,삼보모터스,00351092
0015S0,페스카로,
010100,한국무브넥스,00160418
019180,티에이치엔,00118965
105550,엣지파운드리,00766106
067990,도이치모터스,00449379
009680,모토닉,00151128
013310,아진산업,00139083
066590,우수AMS,00301422
104040,대성파인텍,00442905
212560,네오오토,00876865
214330,금호에이치티,00105606
013570,디와이,00117179
021820,세원정공,00134316
100250,진양홀딩스,00646732
065500,오리엔트정공,00300405
085910,네오티스,00447928
123040,엠에스오토텍,00259545
006660,삼성공조,00126201
017370,우신시스템,00142883
067570,엔브이에이치코리아,00146436
023800,인지컨트롤스,00103510
041930,동아화성,00199988
011320,유니크,00147152
012860,모베이스전자,00137234
016740,두올,00119672
000300,DH오토넥스,00126089
018500,동원금속,00118008
089470,HDC현대EP,00357935
024740,한일단조,00162832
419050,삼기에너지솔루션즈,01526806
234100,폴라리스세원,00617998
023810,인팩,00180795
013520,화승코퍼레이션,00166272
215360,우리산업,01077577
010580,에스엠벡셀,00147860
087260,모바일어플라이언스,00556615
004100,태양금속,00153755
463480,모티브링크,00367400
033310,엠투엔,00143226
170030,현대공업,00164502
336680,탑런토탈솔루션,00814582
038880,아이에이,00252269
024900,디와이덕양,00114154
308170,씨티알모빌리티,00450010
265560,영화테크,00659976
101330,모베이스,00498001
012280,영화금속,00141413
023000,삼원강재,00191588
353590,오토앤,01084294
122690,서진오토모티브,00800145
122350,삼기,00799177
047400,유니온머티리얼,00369833
013720,THE CUBE&,00151605
450140,코오롱모빌리티그룹,01712485
128540,에코캡,00870481
013870,지엠비코리아,00156354
097780,에코볼트,00562360
040610,SG&G,00264714
241690,유니테크노,00531865
001380,SG글로벌,00152039
019540,일지테크,00146560
002920,유성기업,00174004
126640,화신정공,00825223
002880,대유에이텍,00149804
078590,휴림에이텍,00230814
001620,케이비아이동국실업,00114765
048430,유라테크,00201742
053270,구영테크,00202060
378850,화승알앤에이,01532603
024910,경창산업,00102353
007530,와이엠,00140858
009320,아진전자부품,00111689
123700,SJM,00815369
088290,이원컴포텍,00409140
071850,캐스텍코리아,00302582
041650,상신브레이크,00129642
024120,KB오토시스,00157539
031510,오스템,00175173
010770,평화홀딩스,00155124
019770,서연탑메탈,00153278
090080,평화산업,00573579
075180,새론오토모티브,00305668
090150,아이윈,00365624
033250,체시스,00125576
025440,DH오토웨어,00110583
021650,한국큐빅,00160010
130500,GH신소재,00491938
024830,세원물산,00173591
310870,디와이씨,01336443
092780,DYP,00117726
198940,한주라이트메탈,00156600
146060,율촌,00495633
093380,풍강,00155373
113810,디젠스,00576789
053060,세동,00133663
001420,태원물산,00154055
025530,SJM홀딩스,00181943
000040,KR모터스,00112378
080470,성창오토텍,00486370
312610,에이에프더블류,01223219
130740,티피씨글로벌,00578538
072470,우리산업홀딩스,00359623
290120,DH오토리드,01182578
208860,다산디엠씨,01084364
143210,핸즈코퍼레이션,00119140
020400,대동금속,00191287
008500,일정실업,00146542
278470,에이피알,01190568
021240,코웨이,00170558
090430,아모레퍼시픽,00583424
051900,LG생활건강,00356370
111770,영원무역,00776820
192820,코스맥스,01009789
081660,미스토홀딩스,00195229
483650,달바글로벌,01649204
161890,한국콜마,00939331
065350,신성델타테크,00136226
009970,영원무역홀딩스,00140964
383220,F&F,01568413
002790,아모레퍼시픽홀딩스,00154462
298020,효성티앤씨,01316227
241710,코스메카코리아,00763473
048410,현대바이오,00313649
018290,브이티,00150165
036620,감성코퍼레이션,00261009
009450,경동나비엔,00101488
001530,DI동일,00118345
230360,에코마케팅,01029394
192400,쿠쿠홀딩스,00132354
020000,한섬,00188089
270660,에브리봇,01201590
093050,LF,00593032
105630,한세실업,00728638
031430,신세계인터내셔날,00234412
092730,네오팜,00551920
024720,콜마홀딩스,00203290
194370,제이에스코퍼레이션,00332927
284740,쿠쿠홈시스,01267684
114840,아이패밀리에스씨,00692254
