wi26_major_code,wi26_major_name,wi26_major_description,wi26_minor_code,wi26_minor_name,wi26_minor_description,wics_minor_code,wics_minor_name
WI100,에너지,WI26 대분류 (WI26 Major Sector),WI10010,에너지,WI26 소분류 (WI26 Minor Sector),101010,에너지장비및서비스
WI100,에너지,WI26 대분류 (WI26 Major Sector),WI10010,에너지,WI26 소분류 (WI26 Minor Sector),101020,석유와가스
WI110,화학,WI26 대분류 (WI26 Major Sector),WI11010,화학,WI26 소분류 (WI26 Minor Sector),151010,화학
WI200,비철금속,WI26 대분류 (WI26 Major Sector),WI20010,"포장재,종이와목재",WI26 소분류 (WI26 Minor Sector),151030,포장재
WI200,비철금속,WI26 대분류 (WI26 Major Sector),WI20010,"포장재,종이와목재",WI26 소분류 (WI26 Minor Sector),151060,종이와목재
WI200,비철금속,WI26 대분류 (WI26 Major Sector),WI20020,비철금속,WI26 소분류 (WI26 Minor Sector),151040,비철금속
WI210,철강,WI26 대분류 (WI26 Major Sector),WI21010,철강,WI26 소분류 (WI26 Minor Sector),151050,철강
WI220,건설,WI26 대분류 (WI26 Major Sector),WI22010,"건설,건축제품,건축자재",WI26 소분류 (WI26 Minor Sector),201020,건축제품
WI220,건설,WI26 대분류 (WI26 Major Sector),WI22010,"건설,건축제품,건축자재",WI26 소분류 (WI26 Minor Sector),201025,건축자재
WI220,건설,WI26 대분류 (WI26 Major Sector),WI22010,"건설,건축제품,건축자재",WI26 소분류 (WI26 Minor Sector),201030,건설
WI220,건설,WI26 대분류 (WI26 Major Sector),WI22020,가구,WI26 소분류 (WI26 Minor Sector),201035,가구
WI230,기계,WI26 대분류 (WI26 Major Sector),WI23010,기계,WI26 소분류 (WI26 Minor Sector),201060,기계
WI230,기계,WI26 대분류 (WI26 Major Sector),WI23020,전기장비,WI26 소분류 (WI26 Minor Sector),201040,전기장비
WI240,조선,WI26 대분류 (WI26 Major Sector),WI24010,조선,WI26 소분류 (WI26 Minor Sector),201065,조선
WI250,"상사,자본재",WI26 대분류 (WI26 Major Sector),WI25010,복합기업,WI26 소분류 (WI26 Minor Sector),201050,복합기업
WI250,"상사,자본재",WI26 대분류 (WI26 Major Sector),WI25020,상사,WI26 소분류 (WI26 Minor Sector),201070,무역회사와판매업체
WI250,"상사,자본재",WI26 대분류 (WI26 Major Sector),WI25030,기타자본재,WI26 소분류 (WI26 Minor Sector),201010,우주항공과국방
WI260,운송,WI26 대분류 (WI26 Major Sector),WI26010,운송,WI26 소분류 (WI26 Minor Sector),202010,상업서비스와공급품
WI260,운송,WI26 대분류 (WI26 Major Sector),WI26010,운송,WI26 소분류 (WI26 Minor Sector),203010,항공화물운송과물류
WI260,운송,WI26 대분류 (WI26 Major Sector),WI26010,운송,WI26 소분류 (WI26 Minor Sector),203020,항공사
WI260,운송,WI26 대분류 (WI26 Major Sector),WI26010,운송,WI26 소분류 (WI26 Minor Sector),203030,해운사
WI260,운송,WI26 대분류 (WI26 Major Sector),WI26010,운송,WI26 소분류 (WI26 Minor Sector),203040,도로와철도운송
WI260,운송,WI26 대분류 (WI26 Major Sector),WI26010,운송,WI26 소분류 (WI26 Minor Sector),203050,운송인프라
WI300,자동차,WI26 대분류 (WI26 Major Sector),WI30010,자동차,WI26 소분류 (WI26 Minor Sector),251020,자동차
WI300,자동차,WI26 대분류 (WI26 Major Sector),WI30020,자동차부품,WI26 소분류 (WI26 Minor Sector),251010,자동차부품
WI310,"화장품,의류",WI26 대분류 (WI26 Major Sector),WI31010,화장품,WI26 소분류 (WI26 Minor Sector),252065,화장품
WI310,"화장품,의류",WI26 대분류 (WI26 Major Sector),WI31020,의류,WI26 소분류 (WI26 Minor Sector),252060,"섬유,의류,신발,호화품"
WI310,"화장품,의류",WI26 대분류 (WI26 Major Sector),WI31030,"문구,가정용품",WI26 소분류 (WI26 Minor Sector),252040,가정용기기와용품
WI310,"화장품,의류",WI26 대분류 (WI26 Major Sector),WI31030,"문구,가정용품",WI26 소분류 (WI26 Minor Sector),252070,문구류
WI310,"화장품,의류",WI26 대분류 (WI26 Major Sector),WI31040,레저용품,WI26 소분류 (WI26 Minor Sector),252050,레저용장비와제품
WI320,"호텔,레저",WI26 대분류 (WI26 Major Sector),WI32010,"호텔,레저",WI26 소분류 (WI26 Minor Sector),253010,"호텔,레스토랑,레저"
WI320,"호텔,레저",WI26 대분류 (WI26 Major Sector),WI32010,"호텔,레저",WI26 소분류 (WI26 Minor Sector),253020,다각화된소비자서비스
WI330,"미디어,교육",WI26 대분류 (WI26 Major Sector),WI33010,미디어,WI26 소분류 (WI26 Minor Sector),502010,광고
WI330,"미디어,교육",WI26 대분류 (WI26 Major Sector),WI33010,미디어,WI26 소분류 (WI26 Minor Sector),502020,방송과엔터테인먼트
WI330,"미디어,교육",WI26 대분류 (WI26 Major Sector),WI33010,미디어,WI26 소분류 (WI26 Minor Sector),502030,출판
WI330,"미디어,교육",WI26 대분류 (WI26 Major Sector),WI33010,미디어,WI26 소분류 (WI26 Minor Sector),502050,양방향미디어와서비스
WI330,"미디어,교육",WI26 대분류 (WI26 Major Sector),WI33020,교육,WI26 소분류 (WI26 Minor Sector),256010,교육서비스
WI340,소매(유통),WI26 대분류 (WI26 Major Sector),WI34010,백화점,WI26 소분류 (WI26 Minor Sector),255030,백화점과일반상점
WI340,소매(유통),WI26 대분류 (WI26 Major Sector),WI34020,기타유통,WI26 소분류 (WI26 Minor Sector),255010,판매업체
WI340,소매(유통),WI26 대분류 (WI26 Major Sector),WI34020,기타유통,WI26 소분류 (WI26 Minor Sector),255020,인터넷과카탈로그소매
WI340,소매(유통),WI26 대분류 (WI26 Major Sector),WI34020,기타유통,WI26 소분류 (WI26 Minor Sector),255040,전문소매
WI400,필수소비재,WI26 대분류 (WI26 Major Sector),WI40010,"식품,음료",WI26 소분류 (WI26 Minor Sector),301010,식품과기본식료품소매
WI400,필수소비재,WI26 대분류 (WI26 Major Sector),WI40010,"식품,음료",WI26 소분류 (WI26 Minor Sector),302010,음료
WI400,필수소비재,WI26 대분류 (WI26 Major Sector),WI40010,"식품,음료",WI26 소분류 (WI26 Minor Sector),302020,식품
WI400,필수소비재,WI26 대분류 (WI26 Major Sector),WI40020,담배,WI26 소분류 (WI26 Minor Sector),302030,담배
WI400,필수소비재,WI26 대분류 (WI26 Major Sector),WI40030,가정용품,WI26 소분류 (WI26 Minor Sector),303010,가정용품
WI410,건강관리,WI26 대분류 (WI26 Major Sector),WI41010,제약,WI26 소분류 (WI26 Minor Sector),352020,제약
WI410,건강관리,WI26 대분류 (WI26 Major Sector),WI41020,생명과학,WI26 소분류 (WI26 Minor Sector),352010,생물공학
WI410,건강관리,WI26 대분류 (WI26 Major Sector),WI41020,생명과학,WI26 소분류 (WI26 Minor Sector),352030,생명과학도구및서비스
WI410,건강관리,WI26 대분류 (WI26 Major Sector),WI41030,"건강관리장비,서비스",WI26 소분류 (WI26 Minor Sector),351010,건강관리장비와용품
WI410,건강관리,WI26 대분류 (WI26 Major Sector),WI41030,"건강관리장비,서비스",WI26 소분류 (WI26 Minor Sector),351020,건강관리업체및서비스
WI410,건강관리,WI26 대분류 (WI26 Major Sector),WI41030,"건강관리장비,서비스",WI26 소분류 (WI26 Minor Sector),351030,건강관리기술
WI500,은행,WI26 대분류 (WI26 Major Sector),WI50010,은행,WI26 소분류 (WI26 Minor Sector),401010,은행
WI500,은행,WI26 대분류 (WI26 Major Sector),WI50020,기타금융,WI26 소분류 (WI26 Minor Sector),403020,창업투자
WI500,은행,WI26 대분류 (WI26 Major Sector),WI50020,기타금융,WI26 소분류 (WI26 Minor Sector),403030,카드
WI500,은행,WI26 대분류 (WI26 Major Sector),WI50020,기타금융,WI26 소분류 (WI26 Minor Sector),403040,기타금융
WI500,은행,WI26 대분류 (WI26 Major Sector),WI50020,기타금융,WI26 소분류 (WI26 Minor Sector),405020,부동산
WI510,증권,WI26 대분류 (WI26 Major Sector),WI51010,증권,WI26 소분류 (WI26 Minor Sector),402010,증권
WI520,보험,WI26 대분류 (WI26 Major Sector),WI52010,보험,WI26 소분류 (WI26 Minor Sector),404010,손해보험
WI520,보험,WI26 대분류 (WI26 Major Sector),WI52010,보험,WI26 소분류 (WI26 Minor Sector),404020,생명보험
WI600,소프트웨어,WI26 대분류 (WI26 Major Sector),WI60010,소프트웨어,WI26 소분류 (WI26 Minor Sector),451020,IT서비스
WI600,소프트웨어,WI26 대분류 (WI26 Major Sector),WI60010,소프트웨어,WI26 소분류 (WI26 Minor Sector),451030,소프트웨어
WI600,소프트웨어,WI26 대분류 (WI26 Major Sector),WI60020,게임소프트웨어,WI26 소분류 (WI26 Minor Sector),502040,게임엔터테인먼트
WI610,IT하드웨어,WI26 대분류 (WI26 Major Sector),WI61010,통신장비,WI26 소분류 (WI26 Minor Sector),452010,통신장비
WI610,IT하드웨어,WI26 대분류 (WI26 Major Sector),WI61020,핸드셋,WI26 소분류 (WI26 Minor Sector),452015,핸드셋
WI610,IT하드웨어,WI26 대분류 (WI26 Major Sector),WI61030,컴퓨터,WI26 소분류 (WI26 Minor Sector),452020,컴퓨터와주변기기
WI610,IT하드웨어,WI26 대분류 (WI26 Major Sector),WI61040,"전자장비,사무용전자제품",WI26 소분류 (WI26 Minor Sector),452030,전자장비와기기
WI610,IT하드웨어,WI26 대분류 (WI26 Major Sector),WI61040,"전자장비,사무용전자제품",WI26 소분류 (WI26 Minor Sector),452040,사무용전자제품
WI620,반도체,WI26 대분류 (WI26 Major Sector),WI62010,반도체,WI26 소분류 (WI26 Minor Sector),453010,반도체와반도체장비
WI630,IT가전,WI26 대분류 (WI26 Major Sector),WI63010,전자제품,WI26 소분류 (WI26 Minor Sector),453510,전자제품
WI630,IT가전,WI26 대분류 (WI26 Major Sector),WI63020,전기제품,WI26 소분류 (WI26 Minor Sector),453520,전기제품
WI640,디스플레이,WI26 대분류 (WI26 Major Sector),WI64010,디스플레이패널,WI26 소분류 (WI26 Minor Sector),454010,디스플레이패널
WI640,디스플레이,WI26 대분류 (WI26 Major Sector),WI64020,디스플레이장비,WI26 소분류 (WI26 Minor Sector),454020,디스플레이장비및부품
WI700,통신서비스,WI26 대분류 (WI26 Major Sector),WI70010,통신서비스,WI26 소분류 (WI26 Minor Sector),501010,다각화된통신서비스
WI700,통신서비스,WI26 대분류 (WI26 Major Sector),WI70010,통신서비스,WI26 소분류 (WI26 Minor Sector),501020,무선통신서비스
WI800,유틸리티,WI26 대분류 (WI26 Major Sector),WI80010,유틸리티,WI26 소분류 (WI26 Minor Sector),551010,전기유틸리티
WI800,유틸리티,WI26 대분류 (WI26 Major Sector),WI80010,유틸리티,WI26 소분류 (WI26 Minor Sector),551020,가스유틸리티
WI800,유틸리티,WI26 대분류 (WI26 Major Sector),WI80010,유틸리티,WI26 소분류 (WI26 Minor Sector),551030,복합유틸리티
WI800,유틸리티,WI26 대분류 (WI26 Major Sector),WI80010,유틸리티,WI26 소분류 (WI26 Minor Sector),551050,독립전력생산및에너지거래
